Species,Longitude,Latitude
Alternanthera philoxeroides,-79.055572,33.674012
Alternanthera philoxeroides,-87.835301,30.41696
Alternanthera philoxeroides,-82.459813,29.683344
Alternanthera philoxeroides,-86.515236,33.175701
Alternanthera philoxeroides,-96.947393,33.081442
Alternanthera philoxeroides,-92.26108,30.759688
Alternanthera philoxeroides,-82.439178,28.229608
Alternanthera philoxeroides,-90.805373,30.534439
Alternanthera philoxeroides,-88.37056,33.504677
Alternanthera philoxeroides,-91.039225,30.553295
Alternanthera philoxeroides,-93.014111,30.247327
Alternanthera philoxeroides,-81.534444,29.921308
Alternanthera philoxeroides,-89.775767,30.293339
Alternanthera philoxeroides,-94.98088,29.497723
Alternanthera philoxeroides,-95.355923,29.601115
Alternanthera philoxeroides,-91.547484,30.62121
Alternanthera philoxeroides,-60.826301,-31.767329
Alternanthera philoxeroides,150.994994,-33.805931
Alternanthera philoxeroides,-56.053401,-34.878441
Alternanthera philoxeroides,-94.769392,32.184162
Alternanthera philoxeroides,-80.948903,25.136569
Alternanthera philoxeroides,-87.977345,30.783493
Alternanthera philoxeroides,-88.643433,31.667322
Alternanthera philoxeroides,-84.322106,30.458556
Alternanthera philoxeroides,-90.113571,30.391383
Alternanthera philoxeroides,-76.162761,36.775313
Alternanthera philoxeroides,-97.753342,30.514572
Alternanthera philoxeroides,-95.369797,29.698065
Alternanthera philoxeroides,151.842801,-32.823418
Alternanthera philoxeroides,150.942828,-33.956758
Alternanthera philoxeroides,150.084508,-33.915101
Alternanthera philoxeroides,120.454208,23.491508
Alternanthera philoxeroides,121.294809,25.015393
Alternanthera philoxeroides,174.081513,-35.271671
Alternanthera philoxeroides,174.704811,-36.888249
Alternanthera philoxeroides,121.172041,24.829368
Alternanthera philoxeroides,-121.166306,37.578583
Alternanthera philoxeroides,-88.763968,30.360866
Alternanthera philoxeroides,120.629808,24.189136
Alternanthera philoxeroides,-55.304392,-34.826361
Alternanthera philoxeroides,-80.088018,32.872073
Alternanthera philoxeroides,173.416757,-35.463688
Alternanthera philoxeroides,-54.957616,-34.891502
Alternanthera philoxeroides,-80.601427,32.686646
Alternanthera philoxeroides,120.418196,23.736831
Alternanthera philoxeroides,120.583714,23.685404
Alternanthera philoxeroides,-60.791986,-32.425441
Alternanthera philoxeroides,-52.250633,-32.038377
Alternanthera philoxeroides,-81.158722,28.597162
Alternanthera philoxeroides,-50.991177,-29.654476
Alternanthera philoxeroides,106.807705,-6.586939
Alternanthera philoxeroides,139.409112,35.988588
Alternanthera philoxeroides,-81.808337,30.18602
Alternanthera philoxeroides,112.727191,-7.315333
Alternanthera philoxeroides,113.65593,-8.197367
Alternanthera philoxeroides,-97.088043,29.76152
Alternanthera philoxeroides,-91.22908,29.818336
Alternanthera philoxeroides,81.942574,19.090595
Alternanthera philoxeroides,104.071176,30.534544
Alternanthera philoxeroides,-81.261567,31.983647
Alternanthera philoxeroides,113.71772,-8.161897
Alternanthera philoxeroides,-81.609387,30.413182
Alternanthera philoxeroides,79.547075,21.151028
Alternanthera philoxeroides,-85.76895,30.172382
Alternanthera philoxeroides,94.718308,26.920148
Alternanthera philoxeroides,-54.632576,-26.424697
Alternanthera philoxeroides,77.661754,12.903309
Alternanthera philoxeroides,-97.410677,30.160851
Alternanthera philoxeroides,-46.405739,-23.701038
Alternanthera philoxeroides,-63.537223,-31.558538
Alternanthera philoxeroides,112.729589,-8.022707
Alternanthera philoxeroides,93.72747,25.891764
Alternanthera philoxeroides,78.998465,28.274335
Alternanthera philoxeroides,106.765537,-6.552499
Alternanthera philoxeroides,151.068436,-34.003838
Alternanthera philoxeroides,-122.051132,37.578446
Alternanthera philoxeroides,89.559931,26.427381
Alternanthera philoxeroides,-81.878323,28.803477
Alternanthera philoxeroides,-43.685772,-22.946755
Alternanthera philoxeroides,-51.176583,-29.603791
Alternanthera philoxeroides,90.76852,23.607862
Alternanthera philoxeroides,88.129425,25.634495
Alternanthera philoxeroides,78.013498,30.346981
Alternanthera philoxeroides,-82.512831,28.057087
Alternanthera philoxeroides,120.668817,23.55596
Alternanthera philoxeroides,-95.735105,29.916977
Alternanthera philoxeroides,81.85855,25.446185
